"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","R42","R43","R44","R45","R46","R47","R48","R49","R50","R51","R52","R53","R54","R55","R56","R57","R58","R59","R60","R61","R62","R63","R64","R65","R66","R67","R68","R69","R70","R71","R72","R73","R74","R75","R76","R77","R78","R79","R80","R81","R82","R83","R84","R85","R86","R87","R88","R89","R90","R91","R92","R93","R94","R95","R96","R97","R98","R99","R100","R101","R102","R103","R104","R105","R106","R107","R108","R109","R110","R111","R112","R113","R114","R115","R116","R117","R118","R119","R120","R121","R122","R123","R124","R125","R126","R127","R128","R129","R130","R131","R132","R133","R134","R135","R136","R137","R138","R139","R140","R141","R142","R143","R144","R145","R146","R147","R148","R149","R150","R151"
"R44",0.153,0.151,0.143,0.149,0.145,0.139,0.149,0.145,0.147,0.131,0.133,0.141,0.139,0.149,0.147,0.115,0.135,0.177,0.141,0.131,0.137,0.127,0.145,0.149,0.119,0.151,0.169,0.157,0.147,0.143,0.147,0.137,0.127,0.129,0.159,0.157,0.137,0.139,0.181,0.131,0.129,0.143,0.143,0,0.133,0.155,0.147,0.147,0.139,0.131,0.163,0.151,0.141,0.137,0.133,0.163,0.149,0.167,0.119,0.125,0.137,0.157,0.159,0.141,0.151,0.131,0.177,0.161,0.137,0.149,0.135,0.151,0.153,0.135,0.143,0.155,0.151,0.167,0.139,0.139,0.133,0.137,0.133,0.141,0.165,0.131,0.147,0.145,0.177,0.135,0.159,0.169,0.145,0.175,0.147,0.155,0.139,0.129,0.143,0.141,0.153,0.149,0.139,0.137,0.129,0.137,0.139,0.177,0.141,0.155,0.123,0.133,0.143,0.149,0.127,0.145,0.127,0.125,0.143,0.147,0.147,0.159,0.145,0.125,0.147,0.141,0.149,0.157,0.151,0.145,0.153,0.155,0.129,0.151,0.117,0.135,0.151,0.147,0.169,0.139,0.123,0.159,0.149,0.167,0.145,0.131,0.141,0.125,0.147,0.163,0.143
"R45",0.159,0.161,0.141,0.151,0.155,0.145,0.147,0.159,0.161,0.133,0.135,0.159,0.141,0.135,0.161,0.117,0.149,0.183,0.151,0.137,0.163,0.145,0.123,0.143,0.137,0.149,0.175,0.159,0.153,0.149,0.157,0.167,0.129,0.135,0.169,0.147,0.159,0.137,0.179,0.153,0.155,0.141,0.145,0.133,0,0.145,0.145,0.145,0.157,0.121,0.157,0.161,0.167,0.155,0.147,0.157,0.143,0.173,0.129,0.147,0.147,0.151,0.153,0.151,0.153,0.137,0.171,0.151,0.159,0.163,0.145,0.149,0.147,0.137,0.149,0.157,0.165,0.161,0.149,0.145,0.143,0.147,0.127,0.139,0.171,0.153,0.149,0.139,0.175,0.161,0.157,0.179,0.135,0.177,0.149,0.157,0.137,0.139,0.145,0.147,0.151,0.155,0.145,0.151,0.127,0.147,0.145,0.171,0.131,0.165,0.137,0.139,0.141,0.155,0.137,0.151,0.129,0.139,0.141,0.169,0.161,0.165,0.147,0.139,0.153,0.155,0.155,0.147,0.165,0.147,0.159,0.157,0.127,0.149,0.135,0.133,0.161,0.145,0.163,0.149,0.125,0.161,0.155,0.157,0.151,0.141,0.131,0.127,0.161,0.165,0.161
"R46",0.153,0.167,0.151,0.153,0.165,0.151,0.149,0.173,0.163,0.139,0.153,0.157,0.163,0.173,0.167,0.135,0.159,0.181,0.153,0.135,0.161,0.151,0.153,0.161,0.135,0.147,0.181,0.157,0.167,0.151,0.163,0.165,0.155,0.149,0.171,0.153,0.157,0.131,0.189,0.159,0.161,0.139,0.155,0.155,0.145,0,0.171,0.151,0.163,0.147,0.171,0.175,0.157,0.153,0.149,0.175,0.161,0.175,0.139,0.145,0.153,0.161,0.175,0.153,0.155,0.143,0.185,0.165,0.161,0.153,0.155,0.155,0.149,0.139,0.167,0.155,0.179,0.171,0.159,0.167,0.145,0.153,0.133,0.141,0.169,0.155,0.159,0.153,0.173,0.163,0.175,0.197,0.157,0.187,0.155,0.171,0.163,0.141,0.159,0.153,0.173,0.157,0.159,0.161,0.141,0.145,0.151,0.185,0.153,0.167,0.155,0.145,0.151,0.145,0.143,0.157,0.143,0.145,0.147,0.163,0.167,0.179,0.161,0.133,0.155,0.169,0.157,0.169,0.175,0.153,0.141,0.163,0.129,0.167,0.161,0.127,0.155,0.155,0.177,0.143,0.131,0.163,0.161,0.175,0.169,0.139,0.149,0.149,0.151,0.171,0.151
"R47",0.185,0.171,0.163,0.169,0.157,0.171,0.161,0.157,0.175,0.151,0.161,0.169,0.147,0.173,0.167,0.143,0.171,0.181,0.161,0.151,0.181,0.139,0.153,0.157,0.127,0.163,0.185,0.181,0.175,0.179,0.171,0.177,0.147,0.121,0.183,0.161,0.161,0.163,0.185,0.159,0.157,0.155,0.167,0.147,0.145,0.171,0,0.163,0.167,0.147,0.155,0.175,0.173,0.153,0.165,0.171,0.153,0.191,0.139,0.157,0.157,0.165,0.171,0.177,0.163,0.159,0.177,0.169,0.177,0.177,0.159,0.167,0.161,0.147,0.163,0.167,0.187,0.179,0.167,0.159,0.149,0.157,0.145,0.149,0.185,0.163,0.167,0.177,0.197,0.159,0.179,0.189,0.157,0.187,0.171,0.183,0.155,0.165,0.159,0.161,0.157,0.165,0.163,0.173,0.149,0.161,0.159,0.189,0.173,0.191,0.151,0.145,0.163,0.173,0.143,0.169,0.155,0.149,0.163,0.167,0.167,0.179,0.173,0.153,0.163,0.161,0.177,0.165,0.175,0.169,0.169,0.179,0.149,0.159,0.157,0.155,0.167,0.151,0.193,0.163,0.135,0.171,0.165,0.179,0.169,0.143,0.157,0.157,0.159,0.151,0.175
"R48",0.157,0.163,0.155,0.145,0.157,0.151,0.149,0.165,0.167,0.131,0.153,0.165,0.131,0.169,0.167,0.123,0.159,0.185,0.157,0.143,0.161,0.139,0.145,0.153,0.131,0.163,0.165,0.161,0.151,0.147,0.163,0.173,0.135,0.141,0.179,0.153,0.149,0.131,0.181,0.151,0.161,0.143,0.147,0.147,0.145,0.151,0.163,0,0.151,0.135,0.167,0.163,0.165,0.153,0.145,0.163,0.149,0.167,0.127,0.145,0.145,0.157,0.163,0.153,0.147,0.135,0.173,0.157,0.173,0.161,0.147,0.143,0.165,0.139,0.159,0.159,0.167,0.183,0.151,0.147,0.153,0.153,0.149,0.149,0.169,0.143,0.143,0.157,0.185,0.167,0.171,0.177,0.153,0.195,0.143,0.151,0.155,0.149,0.151,0.149,0.169,0.157,0.143,0.149,0.141,0.149,0.151,0.181,0.149,0.183,0.139,0.149,0.147,0.157,0.131,0.145,0.143,0.129,0.143,0.175,0.155,0.163,0.157,0.133,0.163,0.161,0.165,0.153,0.143,0.165,0.145,0.163,0.133,0.159,0.157,0.143,0.151,0.123,0.169,0.147,0.131,0.155,0.161,0.167,0.157,0.139,0.145,0.145,0.159,0.159,0.143
"R49",0.157,0.179,0.167,0.161,0.157,0.159,0.153,0.165,0.163,0.151,0.149,0.165,0.139,0.169,0.175,0.135,0.155,0.177,0.149,0.151,0.165,0.155,0.145,0.169,0.139,0.151,0.189,0.173,0.171,0.147,0.171,0.181,0.143,0.157,0.175,0.161,0.169,0.139,0.193,0.147,0.161,0.155,0.167,0.139,0.157,0.163,0.167,0.151,0,0.151,0.167,0.167,0.161,0.153,0.169,0.167,0.149,0.179,0.131,0.137,0.153,0.157,0.159,0.157,0.163,0.159,0.197,0.169,0.157,0.149,0.147,0.167,0.173,0.143,0.167,0.167,0.187,0.159,0.163,0.159,0.161,0.153,0.141,0.145,0.177,0.163,0.163,0.157,0.193,0.159,0.183,0.201,0.157,0.191,0.163,0.191,0.147,0.145,0.151,0.161,0.169,0.161,0.143,0.165,0.145,0.161,0.151,0.193,0.161,0.171,0.159,0.157,0.147,0.165,0.147,0.161,0.147,0.153,0.155,0.159,0.163,0.183,0.149,0.149,0.159,0.169,0.165,0.177,0.163,0.169,0.157,0.175,0.145,0.159,0.165,0.143,0.163,0.151,0.189,0.159,0.131,0.167,0.169,0.179,0.157,0.143,0.157,0.145,0.163,0.175,0.167
"R50",0.145,0.151,0.139,0.153,0.145,0.131,0.145,0.161,0.155,0.131,0.137,0.157,0.135,0.149,0.155,0.119,0.135,0.189,0.137,0.123,0.145,0.135,0.145,0.133,0.127,0.151,0.177,0.157,0.151,0.139,0.151,0.161,0.135,0.137,0.159,0.161,0.149,0.143,0.173,0.143,0.141,0.127,0.139,0.131,0.121,0.147,0.147,0.135,0.151,0,0.143,0.151,0.141,0.141,0.149,0.159,0.133,0.155,0.123,0.133,0.137,0.149,0.147,0.153,0.139,0.131,0.161,0.153,0.149,0.141,0.143,0.143,0.133,0.127,0.159,0.147,0.147,0.167,0.143,0.147,0.137,0.137,0.121,0.129,0.165,0.139,0.135,0.145,0.165,0.143,0.155,0.181,0.145,0.175,0.147,0.167,0.123,0.149,0.147,0.145,0.149,0.145,0.119,0.153,0.125,0.149,0.155,0.177,0.141,0.163,0.135,0.121,0.143,0.149,0.107,0.137,0.127,0.117,0.139,0.151,0.155,0.159,0.149,0.133,0.159,0.149,0.137,0.145,0.143,0.149,0.141,0.155,0.133,0.143,0.137,0.135,0.151,0.139,0.165,0.139,0.115,0.155,0.153,0.167,0.145,0.119,0.133,0.129,0.147,0.163,0.147
"R51",0.169,0.175,0.159,0.173,0.137,0.163,0.161,0.145,0.163,0.159,0.153,0.177,0.159,0.173,0.175,0.139,0.167,0.181,0.161,0.155,0.165,0.155,0.165,0.169,0.143,0.167,0.177,0.173,0.175,0.171,0.163,0.177,0.151,0.149,0.183,0.173,0.153,0.159,0.165,0.167,0.173,0.155,0.151,0.163,0.157,0.171,0.155,0.167,0.167,0.143,0,0.175,0.177,0.157,0.153,0.171,0.169,0.163,0.135,0.157,0.153,0.173,0.175,0.161,0.163,0.159,0.181,0.157,0.169,0.177,0.167,0.175,0.177,0.143,0.167,0.171,0.167,0.175,0.171,0.175,0.161,0.169,0.141,0.149,0.189,0.139,0.155,0.165,0.181,0.171,0.191,0.217,0.157,0.175,0.175,0.183,0.163,0.161,0.155,0.165,0.161,0.169,0.147,0.169,0.153,0.169,0.159,0.173,0.157,0.175,0.163,0.141,0.159,0.173,0.147,0.173,0.147,0.157,0.155,0.179,0.167,0.183,0.169,0.149,0.171,0.169,0.153,0.177,0.175,0.161,0.169,0.171,0.153,0.167,0.161,0.155,0.167,0.147,0.185,0.159,0.135,0.179,0.169,0.183,0.173,0.143,0.165,0.153,0.151,0.163,0.175
"R52",0.165,0.167,0.163,0.177,0.165,0.155,0.161,0.157,0.167,0.151,0.153,0.181,0.163,0.185,0.175,0.143,0.155,0.205,0.157,0.155,0.177,0.159,0.169,0.169,0.139,0.167,0.185,0.165,0.171,0.151,0.143,0.181,0.155,0.149,0.191,0.181,0.161,0.155,0.193,0.163,0.157,0.163,0.159,0.151,0.161,0.175,0.175,0.163,0.167,0.151,0.175,0,0.169,0.165,0.181,0.187,0.165,0.175,0.151,0.165,0.161,0.181,0.187,0.169,0.155,0.159,0.173,0.189,0.165,0.181,0.167,0.175,0.173,0.143,0.175,0.167,0.175,0.179,0.167,0.163,0.173,0.161,0.141,0.157,0.193,0.159,0.171,0.169,0.185,0.175,0.179,0.197,0.153,0.191,0.175,0.175,0.159,0.157,0.167,0.153,0.177,0.165,0.159,0.161,0.133,0.165,0.163,0.181,0.173,0.171,0.159,0.141,0.167,0.165,0.143,0.169,0.151,0.157,0.163,0.171,0.171,0.191,0.165,0.149,0.171,0.189,0.161,0.169,0.171,0.165,0.165,0.179,0.153,0.175,0.157,0.163,0.163,0.143,0.177,0.163,0.155,0.171,0.165,0.183,0.173,0.151,0.173,0.161,0.159,0.183,0.155
"R53",0.163,0.177,0.149,0.163,0.163,0.145,0.147,0.159,0.161,0.145,0.171,0.159,0.165,0.179,0.173,0.133,0.157,0.195,0.147,0.153,0.167,0.161,0.167,0.159,0.149,0.173,0.175,0.175,0.157,0.145,0.165,0.179,0.157,0.151,0.173,0.179,0.163,0.153,0.199,0.161,0.159,0.161,0.161,0.141,0.167,0.157,0.173,0.165,0.161,0.141,0.177,0.169,0,0.167,0.159,0.173,0.163,0.185,0.125,0.147,0.159,0.167,0.177,0.167,0.157,0.153,0.191,0.179,0.167,0.175,0.153,0.157,0.155,0.153,0.173,0.169,0.181,0.181,0.165,0.173,0.147,0.151,0.139,0.151,0.171,0.137,0.157,0.159,0.187,0.157,0.177,0.191,0.171,0.197,0.145,0.189,0.153,0.167,0.153,0.159,0.163,0.179,0.145,0.163,0.155,0.155,0.177,0.187,0.155,0.173,0.141,0.151,0.161,0.171,0.153,0.159,0.153,0.143,0.149,0.161,0.161,0.177,0.155,0.151,0.173,0.171,0.159,0.167,0.173,0.171,0.151,0.177,0.143,0.173,0.159,0.145,0.157,0.157,0.179,0.149,0.145,0.165,0.167,0.177,0.167,0.145,0.159,0.151,0.173,0.181,0.165
"R54",0.159,0.173,0.161,0.155,0.147,0.157,0.151,0.159,0.169,0.153,0.139,0.175,0.137,0.163,0.177,0.129,0.145,0.175,0.155,0.145,0.163,0.125,0.143,0.155,0.141,0.165,0.175,0.167,0.173,0.145,0.141,0.175,0.137,0.143,0.185,0.159,0.159,0.157,0.183,0.153,0.159,0.157,0.153,0.137,0.155,0.153,0.153,0.153,0.153,0.141,0.157,0.165,0.167,0,0.159,0.165,0.147,0.169,0.137,0.151,0.147,0.167,0.173,0.167,0.165,0.129,0.183,0.163,0.151,0.163,0.153,0.161,0.155,0.133,0.149,0.165,0.165,0.177,0.141,0.161,0.139,0.143,0.135,0.135,0.179,0.161,0.157,0.159,0.175,0.165,0.173,0.195,0.151,0.189,0.153,0.169,0.145,0.151,0.145,0.155,0.167,0.151,0.141,0.159,0.143,0.155,0.161,0.187,0.159,0.169,0.137,0.143,0.149,0.159,0.137,0.147,0.141,0.143,0.145,0.153,0.165,0.173,0.159,0.135,0.169,0.151,0.163,0.163,0.161,0.147,0.147,0.169,0.135,0.153,0.151,0.145,0.157,0.153,0.179,0.153,0.145,0.157,0.155,0.169,0.163,0.129,0.159,0.135,0.145,0.181,0.161
"R55",0.171,0.145,0.149,0.151,0.167,0.145,0.151,0.163,0.165,0.133,0.151,0.171,0.153,0.163,0.165,0.121,0.157,0.187,0.139,0.141,0.159,0.141,0.143,0.163,0.137,0.153,0.163,0.171,0.149,0.153,0.165,0.171,0.141,0.147,0.153,0.159,0.155,0.149,0.179,0.157,0.159,0.137,0.145,0.133,0.147,0.149,0.165,0.145,0.169,0.149,0.153,0.181,0.159,0.159,0,0.177,0.159,0.177,0.133,0.147,0.147,0.163,0.173,0.167,0.141,0.145,0.183,0.171,0.147,0.159,0.145,0.153,0.175,0.129,0.157,0.169,0.161,0.169,0.149,0.157,0.151,0.151,0.143,0.147,0.171,0.153,0.145,0.159,0.179,0.169,0.157,0.199,0.159,0.189,0.141,0.161,0.153,0.143,0.157,0.155,0.159,0.155,0.145,0.155,0.139,0.131,0.157,0.179,0.159,0.165,0.149,0.155,0.145,0.155,0.145,0.155,0.141,0.143,0.153,0.165,0.169,0.161,0.163,0.143,0.169,0.159,0.167,0.155,0.165,0.163,0.151,0.165,0.139,0.153,0.151,0.137,0.157,0.145,0.179,0.149,0.141,0.169,0.139,0.169,0.167,0.141,0.155,0.143,0.169,0.173,0.161
"R56",0.177,0.187,0.171,0.165,0.165,0.187,0.157,0.181,0.175,0.163,0.177,0.173,0.155,0.169,0.183,0.151,0.171,0.197,0.157,0.155,0.185,0.175,0.173,0.177,0.151,0.167,0.189,0.177,0.183,0.175,0.183,0.193,0.147,0.173,0.183,0.169,0.177,0.171,0.177,0.175,0.173,0.155,0.167,0.163,0.157,0.175,0.171,0.163,0.167,0.159,0.171,0.187,0.173,0.165,0.177,0,0.185,0.175,0.147,0.173,0.161,0.173,0.179,0.173,0.187,0.151,0.189,0.185,0.181,0.173,0.183,0.179,0.185,0.163,0.179,0.167,0.175,0.203,0.171,0.183,0.165,0.169,0.161,0.145,0.193,0.167,0.167,0.169,0.193,0.183,0.187,0.209,0.149,0.199,0.171,0.183,0.171,0.173,0.163,0.181,0.165,0.157,0.159,0.189,0.153,0.165,0.163,0.201,0.177,0.179,0.163,0.165,0.171,0.177,0.147,0.177,0.159,0.161,0.155,0.191,0.183,0.187,0.165,0.165,0.187,0.157,0.161,0.177,0.191,0.181,0.165,0.195,0.165,0.183,0.157,0.163,0.179,0.155,0.189,0.167,0.155,0.175,0.181,0.195,0.157,0.159,0.177,0.169,0.163,0.183,0.179
"R57",0.159,0.169,0.153,0.155,0.151,0.145,0.143,0.155,0.169,0.141,0.143,0.147,0.149,0.163,0.165,0.121,0.153,0.191,0.159,0.157,0.159,0.149,0.147,0.155,0.129,0.161,0.183,0.159,0.157,0.161,0.145,0.175,0.133,0.151,0.173,0.155,0.151,0.157,0.175,0.153,0.159,0.145,0.153,0.149,0.143,0.161,0.153,0.149,0.149,0.133,0.169,0.165,0.163,0.147,0.159,0.185,0,0.169,0.133,0.147,0.155,0.163,0.157,0.163,0.145,0.145,0.183,0.167,0.167,0.151,0.149,0.165,0.159,0.149,0.161,0.161,0.173,0.161,0.153,0.153,0.147,0.163,0.131,0.139,0.175,0.157,0.153,0.143,0.171,0.165,0.153,0.191,0.155,0.185,0.157,0.157,0.149,0.151,0.145,0.139,0.159,0.151,0.149,0.163,0.143,0.147,0.157,0.179,0.147,0.165,0.145,0.147,0.149,0.159,0.145,0.143,0.149,0.135,0.141,0.169,0.161,0.165,0.147,0.143,0.157,0.151,0.151,0.159,0.169,0.167,0.159,0.165,0.139,0.157,0.163,0.137,0.153,0.145,0.183,0.157,0.141,0.173,0.147,0.177,0.171,0.129,0.151,0.151,0.173,0.181,0.157
"R58",0.169,0.171,0.159,0.177,0.161,0.171,0.169,0.169,0.167,0.155,0.173,0.169,0.179,0.185,0.195,0.147,0.175,0.193,0.169,0.159,0.193,0.163,0.173,0.181,0.147,0.187,0.181,0.157,0.175,0.163,0.163,0.185,0.159,0.161,0.187,0.177,0.157,0.159,0.201,0.179,0.177,0.167,0.163,0.167,0.173,0.175,0.191,0.167,0.179,0.155,0.163,0.175,0.185,0.169,0.177,0.175,0.169,0,0.143,0.177,0.165,0.177,0.187,0.189,0.183,0.147,0.197,0.177,0.181,0.165,0.183,0.159,0.181,0.155,0.175,0.171,0.179,0.195,0.171,0.183,0.169,0.173,0.157,0.145,0.189,0.159,0.171,0.173,0.201,0.183,0.183,0.193,0.157,0.191,0.179,0.195,0.163,0.177,0.163,0.165,0.177,0.169,0.155,0.177,0.161,0.173,0.175,0.197,0.173,0.183,0.171,0.161,0.159,0.181,0.151,0.165,0.159,0.153,0.163,0.183,0.179,0.199,0.173,0.161,0.179,0.181,0.157,0.173,0.179,0.185,0.173,0.191,0.153,0.183,0.173,0.151,0.179,0.151,0.201,0.171,0.151,0.187,0.173,0.207,0.177,0.139,0.177,0.157,0.179,0.199,0.179
"R59",0.149,0.151,0.131,0.137,0.137,0.127,0.137,0.141,0.139,0.127,0.141,0.141,0.127,0.145,0.155,0.111,0.127,0.157,0.129,0.131,0.149,0.135,0.133,0.145,0.111,0.139,0.153,0.145,0.135,0.131,0.143,0.153,0.123,0.125,0.159,0.149,0.137,0.131,0.153,0.127,0.133,0.131,0.135,0.119,0.129,0.139,0.139,0.127,0.131,0.123,0.135,0.151,0.125,0.137,0.133,0.147,0.133,0.143,0,0.125,0.125,0.137,0.151,0.133,0.139,0.135,0.161,0.157,0.149,0.145,0.123,0.139,0.141,0.127,0.143,0.147,0.147,0.163,0.135,0.135,0.125,0.137,0.121,0.125,0.145,0.127,0.119,0.133,0.161,0.131,0.151,0.181,0.141,0.167,0.135,0.163,0.131,0.137,0.131,0.137,0.145,0.141,0.127,0.145,0.125,0.133,0.147,0.153,0.109,0.147,0.123,0.121,0.139,0.149,0.119,0.137,0.119,0.129,0.131,0.151,0.143,0.151,0.137,0.113,0.143,0.141,0.137,0.149,0.147,0.141,0.133,0.147,0.121,0.151,0.133,0.111,0.147,0.135,0.165,0.127,0.123,0.135,0.129,0.151,0.129,0.119,0.137,0.113,0.135,0.151,0.143
"R60",0.159,0.165,0.149,0.143,0.155,0.145,0.151,0.155,0.149,0.133,0.159,0.159,0.137,0.163,0.161,0.121,0.149,0.175,0.143,0.137,0.155,0.145,0.143,0.151,0.129,0.157,0.175,0.147,0.153,0.145,0.157,0.155,0.137,0.123,0.165,0.155,0.139,0.141,0.183,0.141,0.151,0.149,0.145,0.125,0.147,0.145,0.157,0.145,0.137,0.133,0.157,0.165,0.147,0.151,0.147,0.173,0.147,0.177,0.125,0,0.147,0.159,0.161,0.135,0.145,0.145,0.187,0.163,0.159,0.151,0.137,0.157,0.155,0.141,0.157,0.161,0.169,0.161,0.153,0.161,0.143,0.143,0.139,0.135,0.167,0.137,0.149,0.155,0.183,0.145,0.157,0.183,0.139,0.185,0.137,0.149,0.141,0.159,0.145,0.143,0.147,0.147,0.145,0.147,0.131,0.143,0.149,0.183,0.143,0.165,0.141,0.139,0.141,0.163,0.129,0.155,0.137,0.143,0.137,0.153,0.157,0.157,0.159,0.127,0.153,0.159,0.139,0.151,0.157,0.147,0.151,0.157,0.127,0.145,0.139,0.145,0.149,0.141,0.183,0.145,0.125,0.161,0.147,0.161,0.163,0.137,0.151,0.139,0.153,0.169,0.149
"R61",0.159,0.161,0.145,0.159,0.139,0.149,0.147,0.147,0.165,0.153,0.151,0.163,0.161,0.155,0.165,0.133,0.165,0.191,0.139,0.149,0.159,0.149,0.139,0.159,0.141,0.165,0.179,0.163,0.149,0.149,0.157,0.155,0.133,0.127,0.181,0.167,0.151,0.149,0.179,0.153,0.139,0.133,0.149,0.137,0.147,0.153,0.157,0.145,0.153,0.137,0.153,0.161,0.159,0.147,0.147,0.161,0.155,0.165,0.125,0.147,0,0.163,0.153,0.155,0.157,0.137,0.167,0.175,0.167,0.167,0.149,0.153,0.171,0.141,0.157,0.165,0.177,0.161,0.145,0.141,0.151,0.143,0.143,0.147,0.171,0.149,0.149,0.163,0.171,0.157,0.177,0.187,0.155,0.181,0.149,0.173,0.141,0.159,0.153,0.159,0.163,0.155,0.133,0.151,0.143,0.143,0.161,0.191,0.143,0.173,0.153,0.143,0.141,0.159,0.137,0.159,0.137,0.147,0.153,0.165,0.149,0.165,0.163,0.143,0.165,0.159,0.155,0.155,0.169,0.163,0.151,0.161,0.143,0.165,0.159,0.137,0.161,0.149,0.183,0.153,0.137,0.173,0.147,0.165,0.159,0.133,0.151,0.143,0.149,0.161,0.153
"R62",0.155,0.165,0.165,0.159,0.171,0.161,0.159,0.163,0.169,0.153,0.167,0.167,0.149,0.163,0.173,0.145,0.165,0.199,0.147,0.145,0.151,0.157,0.155,0.155,0.129,0.157,0.179,0.183,0.153,0.149,0.173,0.179,0.141,0.147,0.177,0.187,0.163,0.153,0.183,0.161,0.163,0.141,0.149,0.157,0.151,0.161,0.165,0.157,0.157,0.149,0.173,0.181,0.167,0.167,0.163,0.173,0.163,0.177,0.137,0.159,0.163,0,0.185,0.163,0.161,0.153,0.191,0.175,0.171,0.167,0.157,0.173,0.167,0.153,0.173,0.165,0.173,0.169,0.165,0.161,0.151,0.167,0.151,0.143,0.159,0.153,0.173,0.159,0.183,0.169,0.181,0.183,0.159,0.173,0.149,0.181,0.149,0.151,0.161,0.163,0.163,0.163,0.133,0.159,0.159,0.155,0.165,0.199,0.155,0.169,0.141,0.155,0.161,0.171,0.141,0.151,0.153,0.139,0.157,0.173,0.185,0.173,0.171,0.143,0.181,0.159,0.155,0.155,0.177,0.175,0.159,0.161,0.131,0.169,0.159,0.153,0.161,0.153,0.175,0.145,0.141,0.145,0.151,0.173,0.167,0.153,0.163,0.155,0.173,0.189,0.165
"R63",0.177,0.179,0.175,0.169,0.173,0.167,0.157,0.177,0.179,0.159,0.157,0.177,0.159,0.169,0.187,0.143,0.155,0.205,0.161,0.155,0.161,0.171,0.169,0.165,0.147,0.167,0.189,0.165,0.175,0.155,0.179,0.189,0.167,0.153,0.179,0.177,0.169,0.151,0.197,0.159,0.157,0.163,0.175,0.159,0.153,0.175,0.171,0.163,0.159,0.147,0.175,0.187,0.177,0.173,0.173,0.179,0.157,0.187,0.151,0.161,0.153,0.185,0,0.177,0.163,0.155,0.193,0.169,0.157,0.165,0.151,0.183,0.173,0.163,0.175,0.163,0.183,0.179,0.159,0.175,0.157,0.165,0.157,0.165,0.197,0.147,0.151,0.169,0.201,0.151,0.179,0.209,0.169,0.191,0.151,0.187,0.151,0.169,0.163,0.173,0.173,0.173,0.163,0.165,0.145,0.165,0.163,0.193,0.157,0.195,0.155,0.161,0.147,0.185,0.159,0.165,0.155,0.157,0.163,0.167,0.183,0.171,0.173,0.153,0.167,0.177,0.181,0.173,0.183,0.177,0.165,0.171,0.153,0.179,0.141,0.155,0.171,0.167,0.185,0.159,0.143,0.191,0.169,0.183,0.169,0.139,0.165,0.161,0.175,0.187,0.151
"R64",0.171,0.177,0.161,0.155,0.155,0.145,0.163,0.163,0.165,0.157,0.147,0.179,0.165,0.171,0.161,0.129,0.165,0.195,0.167,0.157,0.171,0.149,0.151,0.167,0.145,0.161,0.183,0.163,0.169,0.169,0.161,0.179,0.157,0.159,0.181,0.159,0.151,0.157,0.183,0.153,0.163,0.165,0.165,0.141,0.151,0.153,0.177,0.153,0.157,0.153,0.161,0.169,0.167,0.167,0.167,0.173,0.163,0.189,0.133,0.135,0.155,0.163,0.177,0,0.165,0.157,0.183,0.179,0.171,0.163,0.153,0.173,0.163,0.157,0.157,0.161,0.173,0.165,0.165,0.161,0.159,0.159,0.155,0.147,0.179,0.153,0.149,0.175,0.191,0.169,0.173,0.203,0.163,0.189,0.149,0.173,0.161,0.159,0.169,0.147,0.167,0.159,0.161,0.163,0.143,0.147,0.169,0.195,0.143,0.173,0.145,0.155,0.149,0.171,0.141,0.163,0.141,0.151,0.161,0.169,0.157,0.181,0.171,0.143,0.169,0.167,0.159,0.155,0.181,0.171,0.155,0.173,0.147,0.165,0.151,0.149,0.165,0.157,0.183,0.157,0.145,0.173,0.159,0.185,0.167,0.149,0.155,0.147,0.157,0.177,0.177
"R65",0.157,0.167,0.151,0.149,0.149,0.159,0.153,0.149,0.163,0.143,0.165,0.173,0.147,0.177,0.163,0.123,0.159,0.189,0.157,0.147,0.153,0.159,0.165,0.149,0.139,0.151,0.181,0.173,0.151,0.151,0.163,0.169,0.147,0.141,0.179,0.173,0.145,0.151,0.193,0.143,0.161,0.155,0.155,0.151,0.153,0.155,0.163,0.147,0.163,0.139,0.163,0.155,0.157,0.165,0.141,0.187,0.145,0.183,0.139,0.145,0.157,0.161,0.163,0.165,0,0.159,0.181,0.173,0.165,0.169,0.151,0.143,0.173,0.135,0.147,0.155,0.183,0.163,0.143,0.159,0.153,0.157,0.145,0.141,0.181,0.159,0.159,0.161,0.189,0.167,0.159,0.201,0.169,0.175,0.155,0.167,0.155,0.141,0.151,0.157,0.157,0.173,0.151,0.161,0.141,0.145,0.151,0.185,0.149,0.171,0.151,0.153,0.159,0.153,0.139,0.161,0.131,0.149,0.155,0.163,0.163,0.167,0.169,0.149,0.159,0.177,0.157,0.161,0.167,0.161,0.161,0.155,0.149,0.171,0.157,0.151,0.175,0.151,0.189,0.151,0.143,0.159,0.165,0.163,0.161,0.143,0.145,0.153,0.163,0.175,0.155
